Id,feature1,feature2,feature3,feature4,feature5,feature6,labels
1,98.0,101.0,31.0,26.0,32.0,6.0,1.0
2,95.0,73.0,20.0,25.0,225.0,8.0,2.0
3,88.0,91.0,56.0,35.0,126.0,9.0,2.0
4,65.0,63.0,19.0,20.0,14.0,0.5,2.0
5,84.0,73.0,46.0,32.0,39.0,4.0,2.0
6,97.0,80.0,17.0,20.0,53.0,8.0,2.0
7,90.0,80.0,19.0,14.0,42.0,2.0,1.0
8,94.0,65.0,38.0,27.0,17.0,3.0,1.0
9,85.0,58.0,83.0,49.0,51.0,3.0,2.0
10,85.0,65.0,23.0,29.0,15.0,0.5,2.0
11,88.0,66.0,23.0,12.0,15.0,3.0,1.0
12,82.0,62.0,17.0,17.0,15.0,0.5,1.0
13,92.0,95.0,85.0,48.0,200.0,8.0,2.0
14,96.0,67.0,26.0,26.0,36.0,0.5,2.0
15,89.0,65.0,26.0,18.0,36.0,3.0,2.0
16,93.0,50.0,18.0,25.0,17.0,6.0,2.0
17,90.0,51.0,23.0,17.0,27.0,3.0,1.0
18,89.0,82.0,23.0,14.0,35.0,0.5,1.0
19,92.0,62.0,37.0,21.0,36.0,6.0,1.0
20,93.0,77.0,32.0,18.0,29.0,0.5,1.0
21,88.0,57.0,9.0,15.0,16.0,2.0,2.0
22,91.0,71.0,12.0,22.0,11.0,3.0,1.0
23,81.0,41.0,33.0,27.0,34.0,1.0,1.0
24,89.0,82.0,23.0,14.0,35.0,0.5,1.0
25,95.0,50.0,29.0,25.0,50.0,0.5,2.0
26,97.0,71.0,29.0,22.0,52.0,8.0,1.0
27,92.0,40.0,19.0,20.0,21.0,4.0,2.0
28,84.0,73.0,46.0,32.0,39.0,4.0,2.0
29,89.0,115.0,17.0,27.0,7.0,0.5,1.0
30,91.0,46.0,30.0,24.0,39.0,7.0,2.0
31,91.0,78.0,34.0,24.0,36.0,0.0,2.0
32,92.0,80.0,10.0,26.0,20.0,6.0,1.0
33,87.0,75.0,37.0,19.0,70.0,2.0,2.0
34,101.0,65.0,18.0,21.0,22.0,0.5,2.0
35,91.0,84.0,11.0,12.0,10.0,0.5,1.0
36,86.0,57.0,13.0,20.0,13.0,0.5,2.0
37,90.0,45.0,33.0,34.0,27.0,0.5,2.0
38,90.0,60.0,25.0,19.0,5.0,0.5,1.0
39,87.0,66.0,27.0,22.0,9.0,2.0,1.0
40,86.0,54.0,33.0,16.0,54.0,0.0,2.0
41,95.0,93.0,21.0,27.0,47.0,6.0,2.0
42,92.0,65.0,17.0,25.0,9.0,2.0,2.0
43,90.0,72.0,17.0,19.0,19.0,6.0,2.0
44,89.0,63.0,24.0,29.0,29.0,6.0,2.0
45,88.0,56.0,23.0,18.0,12.0,0.0,1.0
46,90.0,61.0,28.0,29.0,31.0,2.0,1.0
47,90.0,61.0,28.0,29.0,31.0,2.0,1.0
48,94.0,91.0,30.0,26.0,25.0,2.0,2.0
49,93.0,58.0,20.0,23.0,18.0,2.0,2.0
50,92.0,62.0,20.0,23.0,20.0,6.0,1.0
